;N20;Date;Bande;soilH_H1;soilH_H2;NO3_H1;NO3_H2;NH4_H1;NH4_H2;meanTP;airH;pluie;soilH_H1_J1;soilH_H2_J1;NO3_H1_J1;NO3_H2_J1;NH4_H1_J1;NH4_H2_J1;meanTP_J1;airH_J1;pluie_J1;soilH_H1_J2;soilH_H2_J2;NO3_H1_J2;NO3_H2_J2;NH4_H1_J2;NH4_H2_J2;meanTP_J2;airH_J2;pluie_J2;soilH_H1_J3;soilH_H2_J3;NO3_H1_J3;NO3_H2_J3;NH4_H1_J3;NH4_H2_J3;meanTP_J3;airH_J3;pluie_J3;soilH_H1_J4;soilH_H2_J4;NO3_H1_J4;NO3_H2_J4;NH4_H1_J4;NH4_H2_J4;meanTP_J4;airH_J4;pluie_J4;soilH_H1_J5;soilH_H2_J5;NO3_H1_J5;NO3_H2_J5;NH4_H1_J5;NH4_H2_J5;meanTP_J5;airH_J5;pluie_J5;rolled_N20
0;18.537128874537565;2018-03-14;acs;0.21418246747725542;0.19741339491916854;18.72742938757845;11.471587396408834;62.84009068022795;8.822290193370163;8.8;73.0;7.5;;;;;;;8.3;87.0;0.0;;;;;;;10.0;82.0;1.5;;;;;;;12.7;79.0;0.0;;;;;;;12.9;89.0;19.0;;;;;;;9.8;88.0;2.0;18.537128874537565
1;1.4888171853631982;2018-03-14;bi;0.2213396096891242;0.22243484599963548;1.4720297229219141;2.4849169811320753;1.4842966372795972;1.9064177897574126;8.8;73.0;7.5;;;;;;;8.3;87.0;0.0;;;;;;;10.0;82.0;1.5;;;;;;;12.7;79.0;0.0;;;;;;;12.9;89.0;19.0;;;;;;;9.8;88.0;2.0;1.4888171853631982
2;1.390653827716125;2018-03-14;bio;0.21260165941017004;0.21489655172413785;1.594964882629108;2.6473695010541105;1.9332907668231616;2.4267553759662683;8.8;73.0;7.5;;;;;;;8.3;87.0;0.0;;;;;;;10.0;82.0;1.5;;;;;;;12.7;79.0;0.0;;;;;;;12.9;89.0;19.0;;;;;;;9.8;88.0;2.0;1.390653827716125
3;3.297612668696555;2018-03-14;elev;0.21064552661381658;0.20226269315673298;0.6141658536585367;1.1048067104808024;1.2765015781922533;1.6889573849878934;8.8;73.0;7.5;;;;;;;8.3;87.0;0.0;;;;;;;10.0;82.0;1.5;;;;;;;12.7;79.0;0.0;;;;;;;12.9;89.0;19.0;;;;;;;9.8;88.0;2.0;3.297612668696555
4;2.0889984628058653;2018-03-14;pn;0.21457046043452263;0.22421265530193588;0.7274480395888848;0.8704330726256984;1.6125098210886941;2.1101407821229055;8.8;73.0;7.5;;;;;;;8.3;87.0;0.0;;;;;;;10.0;82.0;1.5;;;;;;;12.7;79.0;0.0;;;;;;;12.9;89.0;19.0;;;;;;;9.8;88.0;2.0;2.0889984628058653
5;2.5688269471581338;2018-03-14;ref;0.2161164854891791;0.211142550492731;0.7658611832061067;0.9670241187384044;1.7262267938931295;2.372432504638219;8.8;73.0;7.5;;;;;;;8.3;87.0;0.0;;;;;;;10.0;82.0;1.5;;;;;;;12.7;79.0;0.0;;;;;;;12.9;89.0;19.0;;;;;;;9.8;88.0;2.0;2.5688269471581338
6;4.627536419052421;2018-03-21;acs;0.20952043886037874;0.2025316455696203;26.10627777031565;12.204028571428573;46.64421508842624;7.438269841269841;3.1;81.0;0.0;;;;;;;2.1;73.0;0.5;;;;;;;-0.7;94.0;0.5;;;;;;;-0.2;92.0;0.0;;;;;;;2.2;98.0;0.0;;;;;;;8.6;84.0;0.0;4.627536419052421
7;0.8445582835364874;2018-03-21;bi;0.2061508464060977;0.20758703040323329;3.692531026013175;4.267448846644257;2.6170365524171038;1.845383285035353;3.1;81.0;0.0;;;;;;;2.1;73.0;0.5;;;;;;;-0.7;94.0;0.5;;;;;;;-0.2;92.0;0.0;;;;;;;2.2;98.0;0.0;;;;;;;8.6;84.0;0.0;0.8445582835364874
8;2.6190446186476644;2018-03-21;bio;0.20459834310713945;0.21339495944885326;4.219050298420127;4.815073968957872;1.4659412053832641;2.058055809312638;3.1;81.0;0.0;;;;;;;2.1;73.0;0.5;;;;;;;-0.7;94.0;0.5;;;;;;;-0.2;92.0;0.0;;;;;;;2.2;98.0;0.0;;;;;;;8.6;84.0;0.0;2.6190446186476644
9;2.194977873306416;2018-03-21;elev;0.20174057957596522;0.20633905736207528;20.565517536534447;5.677773276556565;48.78083830897704;8.36320658303602;3.1;81.0;0.0;;;;;;;2.1;73.0;0.5;;;;;;;-0.7;94.0;0.5;;;;;;;-0.2;92.0;0.0;;;;;;;2.2;98.0;0.0;;;;;;;8.6;84.0;0.0;2.194977873306416
