;N2O;Date;Bande;soilH_h1;soilH_h2;NO3_h1;NO3_h2;NH4_h1;NH4_h2;meanTP;air_humidity;pluie;CP;peuplement;fertilisation;nbJours_ferti;travail_sol;ajout_phyto_30J;ajout_phyto_45J;ajout_phyto_60J;ajout_ferti_30J;ajout_ferti_45J;ajout_ferti_60J;semis;recolte;mean_soilH_h1;mean_soilH_h2;mean_NO3_h1;mean_NO3_h2;mean_NH4_h1;mean_NH4_h2;N2O_J45;N2O_J60;Temp_moyenne_5J;Humidite_moyenne_5J;Temp_max_5J;Humidite_max_5J;Temp_min_5J;Humidite_min_5J;Sum_pluie_5J;Sum_ETP_5J;acs;pn;bi;bio;elev;ref;week;month;year;2018;2019;2020;2021
0;18.537128874537565;2018-03-14;acs;0.21418246747725542;0.19741339491916854;18.72742938757845;11.471587396408834;62.84009068022795;8.822290193370163;8.8;73.0;7.5;ble;ble;0.0;8.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;;;;;;98.4;63.2;82.0;14.24;7.5;10.540000000000001;8.8;28.0;1.0;0.0;0.0;0.0;0.0;0.0;11;3;2018;1.0;0.0;0.0;0.0
1;2.0889984628058653;2018-03-14;pn;0.21457046043452263;0.22421265530193588;0.7274480395888848;0.8704330726256984;1.6125098210886941;2.1101407821229055;8.8;73.0;7.5;ble;ble;32.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;;;;;;98.4;63.2;82.0;14.24;7.5;10.540000000000001;8.8;28.0;0.0;0.0;0.0;0.0;1.0;0.0;11;3;2018;1.0;0.0;0.0;0.0
2;1.4888171853631982;2018-03-14;bi;0.2213396096891242;0.22243484599963548;1.4720297229219141;2.4849169811320753;1.4842966372795972;1.9064177897574126;8.8;73.0;7.5;ble;ble;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;4.5744451138432805;4.081256117082896;98.4;63.2;82.0;14.24;7.5;10.540000000000001;8.8;28.0;0.0;1.0;0.0;0.0;0.0;0.0;11;3;2018;1.0;0.0;0.0;0.0
3;1.390653827716125;2018-03-14;bio;0.21260165941017004;0.21489655172413785;1.594964882629108;2.6473695010541105;1.9332907668231616;2.4267553759662683;8.8;73.0;7.5;ble;ble;32.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;;;;3.617076684432814;3.1906838852634523;98.4;63.2;82.0;14.24;7.5;10.540000000000001;8.8;28.0;0.0;0.0;1.0;0.0;0.0;0.0;11;3;2018;1.0;0.0;0.0;0.0
4;3.297612668696555;2018-03-14;elev;0.21064552661381658;0.20226269315673298;0.6141658536585367;1.1048067104808024;1.2765015781922533;1.6889573849878934;8.8;73.0;7.5;ble;ble;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;2.6086393018943235;2.508564999891487;98.4;63.2;82.0;14.24;7.5;10.540000000000001;8.8;28.0;0.0;0.0;0.0;1.0;0.0;0.0;11;3;2018;1.0;0.0;0.0;0.0
5;2.5688269471581338;2018-03-14;ref;0.2161164854891791;0.211142550492731;0.7658611832061067;0.9670241187384044;1.7262267938931295;2.372432504638219;8.8;73.0;7.5;ble;ble;32.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;;;;3.571282152469863;2.9792177305398204;98.4;63.2;82.0;14.24;7.5;10.540000000000001;8.8;28.0;0.0;0.0;0.0;0.0;0.0;1.0;11;3;2018;1.0;0.0;0.0;0.0
6;4.627536419052421;2018-03-21;acs;0.20952043886037874;0.2025316455696203;26.10627777031565;12.204028571428573;46.64421508842624;7.438269841269841;3.1;81.0;0.0;ble;ble;0.0;15.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;;;;;;98.2;72.4;87.6;4.46;-1.1400000000000001;1.3;4.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;12;3;2018;1.0;0.0;0.0;0.0
7;2.0766942801207904;2018-03-21;pn;0.2121212121212121;0.21878082462024076;9.779192307692309;2.0380927272727276;12.942338461538462;7.342359696969698;3.1;81.0;0.0;ble;ble;0.0;7.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;;;;;;98.2;72.4;87.6;4.46;-1.1400000000000001;1.3;4.5;1.0;0.0;0.0;0.0;0.0;1.0;0.0;12;3;2018;1.0;0.0;0.0;0.0
8;0.8445582835364874;2018-03-21;bi;0.2061508464060977;0.20758703040323329;3.692531026013175;4.267448846644257;2.6170365524171038;1.845383285035353;3.1;81.0;0.0;ble;ble;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;4.570891645112481;3.9872273490084535;98.2;72.4;87.6;4.46;-1.1400000000000001;1.3;4.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;12;3;2018;1.0;0.0;0.0;0.0
9;2.6190446186476644;2018-03-21;bio;0.20459834310713945;0.21339495944885326;4.219050298420127;4.815073968957872;1.4659412053832641;2.058055809312638;3.1;81.0;0.0;ble;ble;0.0;7.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;;;;3.612765807892882;3.1387045941372236;98.2;72.4;87.6;4.46;-1.1400000000000001;1.3;4.5;1.0;0.0;0.0;1.0;0.0;0.0;0.0;12;3;2018;1.0;0.0;0.0;0.0
